LEA	LEA Name	State PPE	State Rank	Federal PPE	Federal Rank	Local PPE	Local Rank	Total PPE	Total Rank
10	Alamance-Burlington Schools	5294.00	105	408.89	100	1463.17	61	7166.06	110
20	Alexander County Schools	5545.05	87	433.05	97	1080.42	100	7058.52	112
30	Alleghany County Schools	7331.81	16	677.33	48	2005.88	24	10015.02	14
40	Anson County Schools	7012.38	25	1009.23	19	1291.10	83	9312.71	26
50	Ashe County Schools	6725.25	30	819.26	31	1275.56	84	8820.07	38
761	Asheboro City Schools	5803.39	67	690.31	46	1906.63	29	8400.33	56
111	Asheville City Schools	5921.40	59	1093.79	12	4711.86	1	11727.05	3
60	Avery County Schools	7131.17	22	816.71	32	1954.07	25	9901.95	15
70	Beaufort County Schools	6041.39	48	844.78	29	1581.66	53	8467.83	54
80	Bertie County Schools	7271.85	18	1197.86	9	1337.41	77	9807.12	18
90	Bladen County Schools	6365.58	37	1287.43	7	1072.55	101	8725.56	44
100	Brunswick County Schools	5670.76	75	526	82	2309.91	15	8506.67	52
110	Buncombe County Schools	5522.56	89	488.42	90	1929.14	27	7940.12	72
120	Burke County Schools	5683.17	72	658.24	52	1339.61	76	7681.02	85
130	Cabarrus County Schools	5076.75	114	360.69	108	1700.24	42	7137.68	111
140	Caldwell County Schools	5725.13	70	556.79	71	1117.81	98	7399.73	105
150	Camden County Schools	7084.24	24	256.89	115	980.85	107	8321.98	58
160	Carteret County Schools	5790.15	68	507.23	86	2472.14	12	8769.52	42
170	Caswell County Schools	7335.49	14	662.09	51	779.02	115	8776.60	41
180	Catawba County Schools	5468.53	92	363.12	107	1599.66	47	7431.31	101
681	Chapel-Hill/Carrboro City Schools	5195.04	110	354.5	110	4658.90	2	10208.44	12
600	Charlotte-Mecklenburg County Schools	5234.28	108	501.72	87	2413.55	14	8149.55	68
190	Chatham County Schools	5556.72	86	562.92	70	3113.83	5	9233.47	30
200	Cherokee County Schools	6728.07	29	667.71	50	1364.68	73	8760.46	43
220	Clay County Schools	7735.14	7	484.35	92	1087.72	99	9307.21	27
230	Cleveland County Schools	5897.67	60	637.04	56	1657.43	45	8192.14	66
821	Clinton City Schools	6022.88	50	675.26	49	1533.69	57	8231.83	63
240	Columbus County Schools	6596.92	32	762.49	41	921.19	111	8280.60	60
250	Craven County Schools	5527.43	88	807.74	36	1292.17	82	7627.34	90
260	Cumberland County Schools	5378.88	99	854.81	28	1443.26	64	7676.95	87
270	Currituck County Schools	6005.86	51	395.08	103	2229.16	17	8630.10	47
