LEA	LEA Name	State PPE	State Rank	Federal PPE	Federal Rank	Local PPE	Local Rank	Total PPE	Total Rank
10	Alamance-Burlington Schools	4256.17	112	482.52	78	1304.16	49	6042.85	106
20	Alexander County Schools	4396.78	102	378.55	100	1084.16	76	5859.49	115
30	Alleghany County Schools	6372.22	8	595.72	50	1228.36	61	8196.30	12
40	Anson County Schools	5055.75	35	858.77	18	991.6	91	6906.12	52
50	Ashe County Schools	5724.96	17	778.44	31	1003.24	89	7506.64	27
761	Asheboro City Schools	4639.66	69	411.26	95	1369.49	44	6420.41	81
111	Asheville City Schools	5042.39	38	1069.55	10	3592.29	2	9704.23	3
60	Avery County Schools	5922.43	11	1070.98	9	1517.94	27	8511.35	9
70	Beaufort County Schools	4862.30	47	853.95	19	1248.87	59	6965.12	47
80	Bertie County Schools	5685.07	19	895.26	16	873.58	106	7453.91	30
90	Bladen County Schools	5044.42	37	927.74	14	875.86	104	6848.02	56
100	Brunswick County Schools	4608.67	75	532.36	65	2057.86	13	7198.89	36
110	Buncombe County Schools	4464.60	96	485.72	76	1478.39	31	6428.71	79
120	Burke County Schools	4506.71	91	500.55	74	1043.43	82	6050.69	104
130	Cabarrus County Schools	4231.97	115	292.37	116	1422.09	38	5946.43	109
140	Caldwell County Schools	4464.92	95	372.3	101	1034.50	84	5871.72	114
150	Camden County Schools	5852.90	15	371.22	102	551.67	116	6775.79	61
160	Carteret County Schools	4656.11	67	474.84	79	2190.25	11	7321.20	34
170	Caswell County Schools	5619.07	21	559.21	60	722.41	114	6900.69	53
180	Catawba County Schools	4392.26	103	307.57	112	1249.59	58	5949.42	108
681	Chapel-Hill/Carrboro City Schools	4461.24	97	368.28	103	3971.85	1	8801.37	6
600	Charlotte-Mecklenburg County Schools	4303.43	109	420.25	93	2193.93	10	6917.61	51
190	Chatham County Schools	4618.19	74	455.4	84	2200.40	8	7273.99	35
200	Cherokee County Schools	5390.55	26	817.12	26	586.55	115	6794.22	58
220	Clay County Schools	6747.08	4	613.76	48	1099.96	75	8460.80	10
230	Cleveland County Schools	4600.10	76	538.63	64	1251.13	56	6389.86	84
821	Clinton City Schools	4782.47	55	594.87	51	1383.43	42	6760.77	62
240	Columbus County Schools	5063.18	34	662.76	41	888.26	103	6614.20	68
250	Craven County Schools	4641.38	68	833.81	23	993.78	90	6468.97	77
260	Cumberland County Schools	4369.25	106	726.61	34	1150.21	70	6246.07	90
270	Currituck County Schools	4856.97	48	356.42	107	1860.06	17	7073.45	43
280	Dare County Schools	4621.96	72	325.89	109	3027.27	3	7975.12	16
290	Davidson County Schools	4209.95	117	279.72	117	1012.83	88	5502.50	117
300	Davie County Schools	4573.41	78	296.35	114	1237.90	60	6107.66	99
310	Duplin County Schools	4784.19	53	895.12	17	893.58	102	6572.89	73
320	Durham County Schools	4564.49	81	425.48	89	2599.93	5	7589.90	23
210	Edenton-Chowan County Schools	5681.35	20	600.44	49	1429.78	36	7711.57	21
330	Edgecombe County Schools	4994.15	40	833.32	24	959.37	95	6786.84	59
861	Elkin City Schools	5233.79	30	417.78	94	1475.84	33	7127.41	39
340	Forsyth County Schools	4509.31	90	389.77	99	1965.41	15	6864.49	54
350	Franklin County Schools	4554.48	82	513.63	69	1257.21	54	6325.32	86
360	Gaston County Schools	4297.20	110	512.63	70	1180.08	65	5989.91	107
370	Gates County Schools	6168.21	10	464.22	82	1251.56	55	7883.99	19
380	Graham County Schools	6563.77	5	1246.19	5	537.23	117	8347.19	11
390	Granville County Schools	4540.55	86	405.32	96	1153.40	69	6099.27	100
400	Greene County Schools	5548.61	24	693.58	39	1109.83	74	7352.02	31
410	Guilford County Schools	4345.85	108	438.27	87	2197.35	9	6981.47	45
420	Halifax County Schools	5274.15	29	1482.41	1	773.46	110	7530.02	24
430	Harnett County Schools	4512.35	89	482.92	77	947.11	99	5942.38	111
440	Haywood County Schools	4628.01	71	559.57	59	1732.22	19	6919.80	50
450	Henderson County Schools	4476.27	93	518.69	67	1414.51	39	6409.47	83
460	Hertford County Schools	5579.07	23	821.56	25	1065.58	80	7466.21	29
181	Hickory City Schools	4543.41	84	546.09	62	1337.27	46	6426.77	80
470	Hoke County Schools	4803.08	51	654.58	43	760.25	113	6217.91	94
480	Hyde County Schools	9337.03	1	1002.03	13	2437.31	6	12776.37	1
490	Iredell-Statesville Schools	4281.37	111	318	111	1286.50	52	5885.87	112
500	Jackson County Schools	4999.43	39	625.65	47	1858.03	18	7483.11	28
510	Johnston County Schools	4410.14	100	367.87	104	1512.79	28	6290.80	88
520	Jones County Schools	7437.29	3	1176.79	7	772.42	111	9386.50	4
132	Kannapolis City Schools	4376.29	104	424.79	90	1428.23	37	6229.31	92
530	Lee County Schools	4575.23	77	509.18	71	1169.39	66	6253.80	89
540	Lenoir County Schools	4674.91	66	718.65	36	1180.89	64	6574.45	72
291	Lexington City Schools	5161.20	32	786.82	30	1939.03	16	7887.05	18
550	Lincoln County Schools	4455.95	98	335.95	108	1262.34	53	6054.24	103
560	Macon County Schools	4867.33	46	463.93	83	1345.80	45	6677.06	66
570	Madison County Schools	5893.74	14	659.02	42	1129.29	72	7682.05	22
580	Martin County Schools	5296.08	28	798.03	28	1250.10	57	7344.21	32
590	McDowell County Schools	4783.01	54	739.06	33	969.27	94	6491.34	76
