LEA	LEA Name	State PPE	State Rank	Federal PPE	Federal Rank	Local PPE	Local Rank	Total PPE	Total Rank
10	Alamance-Burlington Schools	5400.50	104	488.93	95	1505.29	68	7394.72	107
20	Alexander County Schools	5630.16	86	422.63	103	1120.46	101	7173.25	113
30	Alleghany County Schools	7881.22	9	997.86	22	1850.72	32	10729.80	12
40	Anson County Schools	7231.57	21	1015.62	20	1225.35	94	9472.54	30
50	Ashe County Schools	6802.53	31	859.98	35	1278.96	88	8941.47	43
761	Asheboro City Schools	5786.79	73	934.15	29	1818.69	36	8539.63	57
111	Asheville City Schools	6053.57	59	1400.80	7	4845.97	2	12300.34	4
60	Avery County Schools	7165.89	23	729.15	47	1973.36	28	9868.40	19
70	Beaufort County Schools	6105.14	53	874.12	34	1591.73	57	8570.99	60
80	Bertie County Schools	8001.78	8	1577.32	4	1689.54	48	11268.64	8
90	Bladen County Schools	6441.55	40	1337.81	10	1235.72	92	9015.08	39
100	Brunswick County Schools	5541.53	93	600.11	74	2553.85	12	8695.49	52
110	Buncombe County Schools	5473.97	98	512.45	91	2070.36	25	8056.78	79
120	Burke County Schools	5875.07	67	694.54	52	1412.65	78	7982.26	84
130	Cabarrus County Schools	5251.73	111	335	113	1746.09	41	7332.82	110
140	Caldwell County Schools	5704.78	80	571.07	81	1197.69	95	7473.54	105
150	Camden County Schools	7208.47	22	303.31	115	1018.07	111	8529.85	56
160	Carteret County Schools	5791.41	72	504.49	92	2610.06	11	8905.96	44
170	Caswell County Schools	7316.70	18	640.99	62	825.71	114	8783.40	47
180	Catawba County Schools	5472.51	99	425.32	102	1610.46	55	7508.29	104
681	Chapel-Hill/Carrboro City Schools	5239.99	114	365.74	111	4983.32	1	10589.05	13
600	Charlotte-Mecklenburg County Schools	5346.67	108	513.91	90	2368.87	15	8229.45	72
190	Chatham County Schools	5733.44	77	644.72	60	3354.54	4	9732.70	20
200	Cherokee County Schools	6835.59	30	759.57	44	1405.81	80	9000.97	42
220	Clay County Schools	7484.69	15	470.17	98	1263.80	90	9218.66	34
230	Cleveland County Schools	6052.99	60	635.26	66	1603.31	56	8291.56	70
821	Clinton City Schools	6073.33	58	757.5	45	2287.68	19	9118.51	37
240	Columbus County Schools	6379.89	42	969.8	24	1119.61	102	8469.30	65
250	Craven County Schools	5517.63	94	789.5	43	1388.35	82	7695.48	98
260	Cumberland County Schools	5401.54	103	931.72	31	1472.88	71	7806.14	93
270	Currituck County Schools	6190.50	45	404.82	105	2404.59	13	8999.91	41
280	Dare County Schools	5854.56	69	386.5	107	4676.35	3	10917.41	10
290	Davidson County Schools	5369.85	106	366.7	110	1141.12	100	6877.67	115
300	Davie County Schools	5591.24	89	378.77	108	1452.82	73	7422.83	106
310	Duplin County Schools	6175.40	47	733.09	46	1177.14	97	8085.63	75
320	Durham County Schools	5620.47	87	650.85	57	3330.44	5	9601.76	22
210	Edenton-Chowan County Schools	6853.74	29	714.48	48	1806.50	38	9374.72	31
330	Edgecombe County Schools	6552.42	34	803.86	39	1053.18	110	8409.46	67
861	Elkin City Schools	6469.84	37	589.13	76	2089.07	22	9148.04	36
340	Forsyth County Schools	5741.47	74	582.8	78	2400.22	14	8724.49	48
350	Franklin County Schools	5685.14	83	618.2	70	1527.48	66	7830.82	90
360	Gaston County Schools	5208.64	115	514.38	89	1435.31	75	7158.33	114
370	Gates County Schools	7343.26	17	540.11	86	1622.78	54	9506.15	26
380	Graham County Schools	8451.67	5	942.79	27	1070.03	108	10464.49	15
390	Granville County Schools	5662.95	84	615.38	71	1556.96	64	7835.29	92
400	Greene County Schools	7253.53	20	798.33	40	1272.78	89	9324.64	32
410	Guilford County Schools	5372.29	105	629.57	67	2684.23	10	8686.09	51
420	Halifax County Schools	7350.58	16	1725.93	1	1072.26	107	10148.77	17
430	Harnett County Schools	5580.44	90	580.9	79	1149.52	99	7310.86	112
440	Haywood County Schools	5704.02	81	635.79	65	1951.30	30	8291.11	69
450	Henderson County Schools	5403.12	102	597.75	75	1635.03	51	7635.90	102
460	Hertford County Schools	7677.10	12	1045.45	17	1478.20	69	10200.75	16
181	Hickory City Schools	5699.68	82	639.03	63	1757.96	40	8096.67	76
470	Hoke County Schools	6389.38	41	920.04	32	1060.80	109	8370.22	66
480	Hyde County Schools	13065.74	1	1207.99	13	2300.32	17	16574.05	1
490	Iredell-Statesville Schools	5248.30	112	371.52	109	1698.02	45	7317.84	111
500	Jackson County Schools	6124.42	52	649.87	58	1811.18	37	8585.47	55
510	Johnston County Schools	5554.32	92	460	100	1689.89	47	7704.21	97
520	Jones County Schools	9439.60	3	1037.23	18	1622.82	53	12099.65	5
132	Kannapolis City Schools	5514.47	95	707.94	50	1921.15	31	8143.56	73
530	Lee County Schools	5711.67	79	637.81	64	1710.75	44	8060.23	78
540	Lenoir County Schools	6146.82	51	712.68	49	1106.87	104	7966.37	86
291	Lexington City Schools	6355.00	43	943.87	26	1957.52	29	9256.39	35
550	Lincoln County Schools	5501.54	96	496.44	93	1369.93	84	7367.91	108
560	Macon County Schools	6084.26	55	577.81	80	1795.85	39	8457.92	64
570	Madison County Schools	6983.08	26	642.66	61	1154.72	98	8780.46	50
580	Martin County Schools	7014.01	25	990.35	23	1557.56	63	9561.92	25
590	McDowell County Schools	6100.67	54	622.87	68	1286.73	86	8010.27	81
610	Mitchell County Schools	7843.85	10	674.85	55	1099.48	105	9618.18	21
620	Montgomery County Schools	6513.45	36	819.08	37	1627.17	52	8959.70	40
630	Moore County Schools	5566.44	91	460.4	99	2076.24	24	8103.08	77
491	Mooresville City Schools	5366.82	107	311.66	114	2313.48	16	7991.96	83
862	Mount Airy City Schools	6558.29	33	931.75	30	2088.99	23	9579.03	23
640	Nash-Rocky Mount Schools	5867.19	68	796.87	41	1473.48	70	8137.54	74
650	New Hanover County Schools	5247.03	113	605.46	73	2907.87	9	8760.36	46
182	Newton-Conover City Schools	5716.70	78	1153.81	15	1983.01	27	8853.52	45
660	Northampton County Schools	8123.58	7	1398.32	8	1569.15	60	11091.05	9
670	Onslow County Schools	5411.97	101	555.48	83	1678.52	49	7645.97	103
680	Orange County Schools	5812.72	71	390.34	106	3293.18	6	9496.24	28
690	Pamlico County Schools	8194.36	6	1370.26	9	1697.70	46	11262.32	7
700	Pasquotank County Schools	5987.13	62	805.92	38	1836.76	34	8629.81	54
710	Pender County Schools	5450.47	100	658.58	56	1511.10	67	7620.15	101
720	Perquimans County Schools	7707.24	11	1559.43	5	1567.54	61	10834.21	11
730	Person County Schools	6338.48	44	583.62	77	1675.47	50	8597.57	62
740	Pitt County Schools	5740.05	75	608.09	72	1527.62	65	7875.76	91
750	Polk County Schools	6894.96	28	645.78	59	1999.43	26	9540.17	24
760	Randolph County Schools	5497.87	97	483.24	96	1374.88	83	7355.99	109
770	Richmond County Schools	6460.68	38	948.44	25	1091.36	106	8500.48	61
421	Roanoke Rapids City Schools	6172.02	48	938.69	28	1564.21	62	8674.92	49
780	Robeson County Schools	6447.25	39	1169.41	14	797.03	115	8413.69	63
790	Rockingham County Schools	6165.21	49	621.94	69	1576.90	59	8364.05	68
800	Rowan-Salisbury County Schools	5607.86	88	524.19	87	1742.20	42	7874.25	89
810	Rutherford County Schools	6184.51	46	687.44	54	1426.83	76	8298.78	71
820	Sampson County Schools	5879.87	66	824.32	36	991.32	112	7695.51	100
830	Scotland County Schools	6973.47	27	1242.45	11	1842.52	33	10058.44	18
840	Stanly County Schools	6159.02	50	547.59	84	1234.58	93	7941.19	88
850	Stokes County Schools	6078.36	56	523.94	88	1423.09	77	8025.39	80
860	Surry County Schools	5915.07	65	569.02	82	1280.16	87	7764.25	96
870	Swain County Schools	7293.07	19	1013.28	21	1113.63	103	9419.98	29
292	Thomasville City Schools	5949.65	64	1640.62	2	1728.16	43	9318.43	33
880	Transylvania County Schools	5833.13	70	540.61	85	2230.63	20	8604.37	58
890	Tyrrell County Schools	12031.93	2	1233.09	12	1392.95	81	14657.97	2
900	Union County Schools	5277.35	110	346.02	112	2133.12	21	7756.49	94
910	Vance County Schools	6541.30	35	874.56	33	1252.11	91	8667.97	53
920	Wake County Schools	5321.88	109	406.66	104	2292.09	18	8020.63	82
930	Warren County Schools	7646.13	14	1149.38	16	1591.43	58	10386.94	14
940	Washington County Schools	8605.31	4	1429.35	6	1835.15	35	11869.81	6
950	Watauga County Schools	5978.44	63	482.85	97	3087.05	8	9548.34	27
960	Wayne County Schools	6073.52	57	702.93	51	1188.34	96	7964.79	87
422	Weldon City Schools	7662.90	13	1619.66	3	3226.94	7	12509.50	3
241	Whiteville City Schools	6628.38	32	1027.07	19	922.17	113	8577.62	59
970	Wilkes County Schools	5737.12	76	490.05	94	1455.94	72	7683.11	99
980	Wilson County Schools	5644.05	85	688.24	53	1411.82	79	7744.11	95
990	Yadkin County Schools	6051.41	61	444.86	101	1438.15	74	7934.42	85
995	Yancey County Schools	7046.11	24	793.31	42	1311.97	85	9151.39	38
