Year	LEA	LEA Name	State PPE	State Rank	Federal PPE	Federal Rank	Local PPE	Local Rank	Total PPE	Total Rank
2007	10	Alamance-Burlington Schools	"4,851.33"	112	439.24	97	"1,311.07"	69	"6,601.64"	111
2007	20	Alexander County Schools	"5,172.34"	89	408.8	100	974.18	102	"6,555.32"	113
2007	30	Alleghany County Schools	"7,125.85"	10	685.65	46	"1,610.58"	37	"9,422.08"	13
2007	40	Anson County Schools	"6,291.86"	29	"1,031.48"	14	"1,183.58"	80	"8,506.92"	33
2007	50	Ashe County Schools	"6,265.38"	30	724.6	42	"1,159.69"	82	"8,149.67"	45
2007	761	Asheboro City Schools	"5,516.86"	63	705.29	44	"1,798.48"	25	"8,020.63"	50
2007	111	Asheville City Schools	"5,573.78"	57	859.37	24	"4,604.80"	1	"11,037.95"	4
2007	60	Avery County Schools	"6,542.43"	21	806.75	30	"1,784.99"	26	"9,134.17"	17
2007	70	Beaufort County Schools	"5,758.56"	49	851.3	25	"1,408.58"	59	"8,018.44"	51
2007	80	Bertie County Schools	"6,773.51"	16	"1,072.21"	11	"1,183.09"	81	"9,028.81"	19
2007	90	Bladen County Schools	"5,896.99"	41	"1,127.17"	8	"1,023.98"	97	"8,048.14"	48
2007	100	Brunswick County Schools	"5,195.56"	84	579.03	66	"2,056.73"	18	"7,831.32"	57
2007	110	Buncombe County Schools	"5,178.02"	88	482.1	89	"1,783.37"	28	"7,443.49"	77
2007	120	Burke County Schools	"5,445.11"	69	611.27	59	"1,051.36"	95	"7,107.74"	98
2007	130	Cabarrus County Schools	"4,679.41"	115	341.38	110	"1,490.00"	50	"6,510.79"	114
2007	140	Caldwell County Schools	"5,247.78"	82	533.78	80	"1,120.37"	90	"6,901.93"	106
2007	150	Camden County Schools	"6,576.34"	19	340.83	111	852.1	112	"7,769.27"	63
2007	160	Carteret County Schools	"5,497.35"	65	550.56	77	"2,496.98"	9	"8,544.89"	31
2007	170	Caswell County Schools	"6,526.22"	22	565.01	71	720.99	115	"7,812.22"	59
2007	180	Catawba County Schools	"5,132.58"	97	399.48	101	"1,437.32"	54	"6,969.38"	102
2007	681	Chapel-Hill/Carrboro City Schools	"5,009.82"	105	309.44	114	"4,301.06"	2	"9,620.32"	9
2007	600	Charlotte-Mecklenburg County Schools	"4,901.83"	108	453.02	94	"2,332.48"	13	"7,687.33"	68
2007	190	Chatham County Schools	"5,178.45"	87	496.7	86	"2,435.99"	11	"8,111.14"	46
2007	200	Cherokee County Schools	"6,448.80"	23	798.73	31	"1,265.68"	74	"8,513.21"	32
2007	220	Clay County Schools	"7,020.87"	12	531.03	81	"1,028.02"	96	"8,579.92"	30
2007	230	Cleveland County Schools	"5,508.58"	64	640.97	53	"1,506.47"	47	"7,656.02"	69
2007	821	Clinton City Schools	"5,573.63"	58	713.33	43	"1,292.36"	73	"7,579.32"	71
2007	240	Columbus County Schools	"6,093.02"	32	826.39	26	853.29	111	"7,772.70"	62
2007	250	Craven County Schools	"5,323.39"	78	793.56	33	"1,141.22"	85	"7,258.17"	88
2007	260	Cumberland County Schools	"5,042.41"	103	767.39	38	"1,440.48"	53	"7,250.28"	89
2007	270	Currituck County Schools	"5,633.81"	54	368.87	107	"2,159.71"	17	"8,162.39"	44
2007	280	Dare County Schools	"5,402.92"	74	364.48	108	"3,686.42"	3	"9,453.82"	11
2007	290	Davidson County Schools	"4,861.30"	111	316.86	113	967.59	104	"6,145.75"	115
2007	300	Davie County Schools	"5,094.01"	98	358.52	109	"1,488.99"	51	"6,941.52"	104
2007	310	Duplin County Schools	"5,871.16"	43	826.24	27	879.26	110	"7,576.66"	72
2007	320	Durham County Schools	"5,170.43"	90	648.98	50	"2,881.72"	6	"8,701.13"	27
2007	210	Edenton-Chowan County Schools	"6,423.25"	24	738.58	40	"1,761.78"	30	"8,923.61"	22
2007	330	Edgecombe County Schools	"5,927.50"	39	825.56	28	959.84	105	"7,712.90"	66
2007	861	Elkin City Schools	"5,920.41"	40	395.07	102	"1,857.97"	23	"8,173.45"	43
2007	340	Forsyth County Schools	"5,273.29"	80	557.34	74	"2,278.68"	14	"8,109.31"	47
2007	350	Franklin County Schools	"5,214.50"	83	629.2	55	"1,344.62"	65	"7,188.32"	94
2007	360	Gaston County Schools	"4,908.53"	107	479.89	90	"1,302.52"	71	"6,690.94"	110
2007	370	Gates County Schools	"7,250.59"	7	495	87	"1,226.06"	79	"8,971.65"	20
2007	380	Graham County Schools	"7,562.46"	5	"1,185.75"	6	739.59	114	"9,487.80"	10
2007	390	Granville County Schools	"5,251.32"	81	394.08	103	"1,513.41"	46	"7,158.81"	96
2007	400	Greene County Schools	"6,563.44"	20	816.91	29	"1,231.80"	78	"8,612.15"	28
2007	410	Guilford County Schools	"4,930.51"	106	514.8	85	"2,521.93"	8	"7,967.24"	53
2007	420	Halifax County Schools	"6,647.46"	18	"1,178.11"	7	941.44	106	"8,767.01"	26
2007	430	Harnett County Schools	"5,308.77"	79	631.45	54	"1,001.16"	100	"6,941.38"	105
2007	440	Haywood County Schools	"5,448.03"	68	590.01	62	"1,885.62"	22	"7,923.66"	55
2007	450	Henderson County Schools	"5,159.73"	92	577.86	68	"1,494.19"	48	"7,231.78"	91
2007	460	Hertford County Schools	"6,835.77"	15	917.29	21	"1,136.72"	87	"8,889.78"	23
2007	181	Hickory City Schools	"5,159.89"	91	612.16	58	"1,580.54"	39	"7,352.59"	81
2007	470	Hoke County Schools	"6,035.53"	34	779.84	34	917.43	109	"7,732.80"	64
2007	480	Hyde County Schools	"11,284.23"	1	"1,062.08"	13	"2,391.49"	12	"14,737.80"	1
2007	490	Iredell-Statesville Schools	"4,886.44"	110	441.23	96	"1,411.49"	58	"6,739.16"	107
2007	500	Jackson County Schools	"5,702.15"	51	569.98	69	"1,995.73"	20	"8,267.86"	39
2007	510	Johnston County Schools	"5,183.24"	86	378	106	"1,572.63"	40	"7,133.87"	97
2007	520	Jones County Schools	"8,363.35"	3	"1,097.31"	9	"1,078.45"	94	"10,539.11"	5
2007	132	Kannapolis City Schools	"5,057.68"	100	583.99	64	"1,648.66"	33	"7,290.33"	85
2007	530	Lee County Schools	"5,141.45"	95	545.14	78	"1,491.14"	49	"7,177.73"	95
2007	540	Lenoir County Schools	"5,880.29"	42	698.27	45	"1,236.44"	76	"7,815.00"	58
2007	291	Lexington City Schools	"5,846.59"	45	865.63	23	"1,783.45"	27	"8,495.67"	34
2007	550	Lincoln County Schools	"5,184.60"	85	414.43	99	"1,369.28"	61	"6,968.31"	103
2007	560	Macon County Schools	"5,779.13"	48	482.36	88	"1,536.75"	45	"7,798.24"	61
2007	570	Madison County Schools	"6,192.50"	31	461.73	93	"1,153.03"	83	"7,807.26"	60
2007	580	Martin County Schools	"6,366.03"	26	933.21	20	"1,558.43"	42	"8,857.67"	24
2007	590	McDowell County Schools	"5,601.49"	56	554.94	76	"1,088.46"	92	"7,244.89"	90
2007	610	Mitchell County Schools	"6,994.10"	13	560.14	72	939.86	107	"8,494.10"	35
2007	620	Montgomery County Schools	"5,962.38"	35	997.54	16	"1,414.87"	57	"8,374.79"	37
2007	630	Moore County Schools	"5,062.72"	99	527.34	82	"1,774.08"	29	"7,364.14"	80
2007	491	Mooresville City Schools	"4,811.58"	113	267.52	115	"1,640.69"	34	"6,719.79"	108
2007	862	Mount Airy City Schools	"5,779.89"	47	773.03	37	"2,030.48"	19	"8,583.40"	29
2007	640	Nash-Rocky Mount Schools	"5,424.20"	70	738.55	41	"1,544.80"	43	"7,707.55"	67
2007	650	New Hanover County Schools	"5,052.55"	102	645.95	51	"2,631.76"	7	"8,330.26"	38
2007	182	Newton-Conover City Schools	"5,404.90"	73	"1,011.43"	15	"1,609.07"	38	"8,025.40"	49
2007	660	Northampton County Schools	"7,122.11"	11	"1,278.26"	4	"1,425.95"	56	"9,826.32"	7
2007	670	Onslow County Schools	"5,156.53"	93	579.86	65	"1,469.78"	52	"7,206.17"	93
