Year	LEA	LEA Name	State PPE	State Rank	Federal PPE	Federal Rank	Local PPE	Local Rank	Total PPE	Total Rank
2006	10	Alamance-Burlington Schools	"4,518.98"	111	452.29	96	"1,477.94"	46	"6,449.21"	106
2006	20	Alexander County Schools	"4,836.31"	88	431.57	98	929.02	102	"6,196.90"	112
2006	30	Alleghany County Schools	"7,091.12"	5	706.34	45	"1,281.44"	69	"9,078.90"	10
2006	40	Anson County Schools	"5,796.55"	29	"1,020.38"	18	"1,063.47"	92	"7,880.40"	38
2006	50	Ashe County Schools	"5,963.96"	25	854.27	27	"1,172.02"	83	"7,990.25"	33
2006	761	Asheboro City Schools	"5,085.87"	66	765.15	38	"1,633.85"	34	"7,484.87"	60
2006	111	Asheville City Schools	"5,349.44"	41	851.52	28	"4,230.67"	1	"10,431.63"	4
2006	60	Avery County Schools	"6,328.43"	15	"1,003.85"	22	"1,753.98"	28	"9,086.26"	9
2006	70	Beaufort County Schools	"5,343.71"	42	874.42	25	"1,416.82"	52	"7,634.95"	47
2006	80	Bertie County Schools	"6,249.61"	17	"1,012.14"	19	986.42	98	"8,248.17"	27
2006	90	Bladen County Schools	"5,603.96"	32	"1,306.71"	4	"1,182.45"	81	"8,093.12"	30
2006	100	Brunswick County Schools	"4,927.42"	78	602.38	62	"2,066.69"	18	"7,596.49"	49
2006	110	Buncombe County Schools	"4,799.73"	93	529.35	82	"1,740.68"	29	"7,069.76"	74
2006	120	Burke County Schools	"4,989.41"	74	552.95	73	967.98	100	"6,510.34"	105
2006	130	Cabarrus County Schools	"4,411.54"	114	322.1	113	"1,449.63"	49	"6,183.27"	113
2006	140	Caldwell County Schools	"4,918.67"	80	517.21	85	"1,148.25"	84	"6,584.13"	100
2006	150	Camden County Schools	"5,993.01"	24	328.92	112	787	113	"7,108.93"	69
2006	160	Carteret County Schools	"5,077.69"	67	560.66	71	"2,355.71"	10	"7,994.06"	32
2006	170	Caswell County Schools	"6,106.04"	20	616.43	57	844.78	109	"7,567.25"	52
2006	180	Catawba County Schools	"4,817.37"	90	438.98	97	"1,350.83"	57	"6,607.18"	99
2006	681	Chapel-Hill/Carrboro City Schools	"4,637.31"	103	338.05	111	"3,965.00"	2	"8,940.36"	11
2006	600	Charlotte-Mecklenburg County Schools	"4,614.83"	106	485.1	89	"2,392.01"	8	"7,491.94"	59
2006	190	Chatham County Schools	"4,884.52"	83	475.49	92	"2,174.51"	14	"7,534.52"	56
2006	200	Cherokee County Schools	"5,888.48"	26	815.64	34	"1,118.91"	88	"7,823.03"	42
2006	220	Clay County Schools	"6,803.10"	7	581.86	66	973	99	"8,357.96"	23
2006	230	Cleveland County Schools	"5,174.12"	57	595.36	63	"1,464.84"	47	"7,234.32"	65
2006	821	Clinton City Schools	"5,225.96"	53	830.61	32	"1,282.00"	68	"7,338.57"	62
