LEA	LEA Name	State PPE	State Rank	Federal PPE	Federal Rank	Local PPE	Local Rank	Total PPE	Total Rank
10	Alamance-Burlington Schools	4851.33	112	439.24	97	1311.07	69	6601.64	111
20	Alexander County Schools	5172.34	89	408.8	100	974.18	102	6555.32	113
30	Alleghany County Schools	7125.85	10	685.65	46	1610.58	37	9422.08	13
40	Anson County Schools	6291.86	29	1031.48	14	1183.58	80	8506.92	33
50	Ashe County Schools	6265.38	30	724.6	42	1159.69	82	8149.67	45
761	Asheboro City Schools	5516.86	63	705.29	44	1798.48	25	8020.63	50
111	Asheville City Schools	5573.78	57	859.37	24	4604.80	1	11037.95	4
60	Avery County Schools	6542.43	21	806.75	30	1784.99	26	9134.17	17
70	Beaufort County Schools	5758.56	49	851.3	25	1408.58	59	8018.44	51
80	Bertie County Schools	6773.51	16	1072.21	11	1183.09	81	9028.81	19
90	Bladen County Schools	5896.99	41	1127.17	8	1023.98	97	8048.14	48
100	Brunswick County Schools	5195.56	84	579.03	66	2056.73	18	7831.32	57
110	Buncombe County Schools	5178.02	88	482.1	89	1783.37	28	7443.49	77
120	Burke County Schools	5445.11	69	611.27	59	1051.36	95	7107.74	98
130	Cabarrus County Schools	4679.41	115	341.38	110	1490.00	50	6510.79	114
140	Caldwell County Schools	5247.78	82	533.78	80	1120.37	90	6901.93	106
150	Camden County Schools	6576.34	19	340.83	111	852.1	112	7769.27	63
160	Carteret County Schools	5497.35	65	550.56	77	2496.98	9	8544.89	31
170	Caswell County Schools	6526.22	22	565.01	71	720.99	115	7812.22	59
180	Catawba County Schools	5132.58	97	399.48	101	1437.32	54	6969.38	102
681	Chapel-Hill/Carrboro City Schools	5009.82	105	309.44	114	4301.06	2	9620.32	9
600	Charlotte-Mecklenburg County Schools	4901.83	108	453.02	94	2332.48	13	7687.33	68
190	Chatham County Schools	5178.45	87	496.7	86	2435.99	11	8111.14	46
200	Cherokee County Schools	6448.80	23	798.73	31	1265.68	74	8513.21	32
220	Clay County Schools	7020.87	12	531.03	81	1028.02	96	8579.92	30
230	Cleveland County Schools	5508.58	64	640.97	53	1506.47	47	7656.02	69
821	Clinton City Schools	5573.63	58	713.33	43	1292.36	73	7579.32	71
240	Columbus County Schools	6093.02	32	826.39	26	853.29	111	7772.70	62
250	Craven County Schools	5323.39	78	793.56	33	1141.22	85	7258.17	88
260	Cumberland County Schools	5042.41	103	767.39	38	1440.48	53	7250.28	89
270	Currituck County Schools	5633.81	54	368.87	107	2159.71	17	8162.39	44
280	Dare County Schools	5402.92	74	364.48	108	3686.42	3	9453.82	11
290	Davidson County Schools	4861.30	111	316.86	113	967.59	104	6145.75	115
300	Davie County Schools	5094.01	98	358.52	109	1488.99	51	6941.52	104
310	Duplin County Schools	5871.16	43	826.24	27	879.26	110	7576.66	72
320	Durham County Schools	5170.43	90	648.98	50	2881.72	6	8701.13	27
210	Edenton-Chowan County Schools	6423.25	24	738.58	40	1761.78	30	8923.61	22
330	Edgecombe County Schools	5927.50	39	825.56	28	959.84	105	7712.90	66
861	Elkin City Schools	5920.41	40	395.07	102	1857.97	23	8173.45	43
340	Forsyth County Schools	5273.29	80	557.34	74	2278.68	14	8109.31	47
350	Franklin County Schools	5214.50	83	629.2	55	1344.62	65	7188.32	94
360	Gaston County Schools	4908.53	107	479.89	90	1302.52	71	6690.94	110
370	Gates County Schools	7250.59	7	495	87	1226.06	79	8971.65	20
380	Graham County Schools	7562.46	5	1185.75	6	739.59	114	9487.80	10
390	Granville County Schools	5251.32	81	394.08	103	1513.41	46	7158.81	96
400	Greene County Schools	6563.44	20	816.91	29	1231.80	78	8612.15	28
410	Guilford County Schools	4930.51	106	514.8	85	2521.93	8	7967.24	53
420	Halifax County Schools	6647.46	18	1178.11	7	941.44	106	8767.01	26
430	Harnett County Schools	5308.77	79	631.45	54	1001.16	100	6941.38	105
440	Haywood County Schools	5448.03	68	590.01	62	1885.62	22	7923.66	55
450	Henderson County Schools	5159.73	92	577.86	68	1494.19	48	7231.78	91
460	Hertford County Schools	6835.77	15	917.29	21	1136.72	87	8889.78	23
181	Hickory City Schools	5159.89	91	612.16	58	1580.54	39	7352.59	81
470	Hoke County Schools	6035.53	34	779.84	34	917.43	109	7732.80	64
480	Hyde County Schools	11284.23	1	1062.08	13	2391.49	12	14737.80	1
490	Iredell-Statesville Schools	4886.44	110	441.23	96	1411.49	58	6739.16	107
500	Jackson County Schools	5702.15	51	569.98	69	1995.73	20	8267.86	39
510	Johnston County Schools	5183.24	86	378	106	1572.63	40	7133.87	97
520	Jones County Schools	8363.35	3	1097.31	9	1078.45	94	10539.11	5
132	Kannapolis City Schools	5057.68	100	583.99	64	1648.66	33	7290.33	85
530	Lee County Schools	5141.45	95	545.14	78	1491.14	49	7177.73	95
540	Lenoir County Schools	5880.29	42	698.27	45	1236.44	76	7815.00	58
291	Lexington City Schools	5846.59	45	865.63	23	1783.45	27	8495.67	34
550	Lincoln County Schools	5184.60	85	414.43	99	1369.28	61	6968.31	103
560	Macon County Schools	5779.13	48	482.36	88	1536.75	45	7798.24	61
570	Madison County Schools	6192.50	31	461.73	93	1153.03	83	7807.26	60
580	Martin County Schools	6366.03	26	933.21	20	1558.43	42	8857.67	24
590	McDowell County Schools	5601.49	56	554.94	76	1088.46	92	7244.89	90
610	Mitchell County Schools	6994.10	13	560.14	72	939.86	107	8494.10	35
620	Montgomery County Schools	5962.38	35	997.54	16	1414.87	57	8374.79	37
630	Moore County Schools	5062.72	99	527.34	82	1774.08	29	7364.14	80
491	Mooresville City Schools	4811.58	113	267.52	115	1640.69	34	6719.79	108
862	Mount Airy City Schools	5779.89	47	773.03	37	2030.48	19	8583.40	29
640	Nash-Rocky Mount Schools	5424.20	70	738.55	41	1544.80	43	7707.55	67
650	New Hanover County Schools	5052.55	102	645.95	51	2631.76	7	8330.26	38
182	Newton-Conover City Schools	5404.90	73	1011.43	15	1609.07	38	8025.40	49
660	Northampton County Schools	7122.11	11	1278.26	4	1425.95	56	9826.32	7
670	Onslow County Schools	5156.53	93	579.86	65	1469.78	52	7206.17	93
680	Orange County Schools	5351.04	76	445.26	95	3344.46	4	9140.76	16
690	Pamlico County Schools	7737.41	4	741.96	39	1315.95	67	9795.32	8
700	Pasquotank County Schools	5683.68	52	777.51	35	1728.43	31	8189.62	41
710	Pender County Schools	5146.89	94	569.31	70	1355.24	64	7071.44	100
720	Perquimans County Schools	7184.94	8	950.75	19	1299.70	72	9435.39	12
730	Person County Schools	5448.35	67	627.96	56	1398.23	60	7474.54	76
740	Pitt County Schools	5371.14	75	610.5	61	1567.60	41	7549.24	73
750	Polk County Schools	6304.53	28	557.22	75	2263.39	15	9125.14	18
760	Randolph County Schools	5027.78	104	387.17	104	1148.98	84	6563.93	112
770	Richmond County Schools	5952.36	38	652.76	48	988.39	101	7593.51	70
421	Roanoke Rapids City Schools	5707.41	50	668.88	47	1803.15	24	8179.44	42
780	Robeson County Schools	5956.50	37	982.73	17	781.73	113	7720.96	65
790	Rockingham County Schools	5566.29	60	543.24	79	1239.94	75	7349.47	82
800	Rowan-Salisbury County Schools	5057.24	101	523.03	84	1636.51	35	7216.78	92
810	Rutherford County Schools	5618.16	55	559.47	73	1140.48	86	7318.11	83
999	STATE TOTAL	5270.71	0	561.71	0	1750.05	0	7582.47	0
820	Sampson County Schools	5792.98	46	651.05	49	927.16	108	7371.19	79
830	Scotland County Schools	6338.00	27	1272.56	5	1544.56	44	9155.12	14
840	Stanly County Schools	5557.72	61	525.83	83	1339.89	66	7423.44	78
850	Stokes County Schools	5659.62	53	477.96	92	1355.84	63	7493.42	75
860	Surry County Schools	5567.82	59	578.05	67	1126.48	89	7272.35	87
870	Swain County Schools	7163.76	9	977.34	18	1006.28	99	9147.38	15
292	Thomasville City Schools	5861.07	44	1401.36	2	1682.17	32	8944.60	21
880	Transylvania County Schools	5422.21	71	586.36	63	1922.65	21	7931.22	54
890	Tyrrell County Schools	10726.86	2	1069.90	12	1314.79	68	13111.55	2
900	Union County Schools	4740.66	114	340.66	112	1632.06	36	6713.38	109
910	Vance County Schools	5959.48	36	794.56	32	1235.38	77	7989.42	52
920	Wake County Schools	4886.91	109	381.5	105	2252.53	16	7520.94	74
930	Warren County Schools	6693.85	17	1087.88	10	1022.79	98	8804.52	25
940	Washington County Schools	7410.08	6	1367.12	3	1429.11	55	10206.31	6
950	Watauga County Schools	5458.96	66	428.07	98	2490.51	10	8377.54	36
960	Wayne County Schools	5541.62	62	622.75	57	1108.43	91	7272.80	86
422	Weldon City Schools	6838.48	14	1486.50	1	3259.26	5	11584.24	3
241	Whiteville City Schools	6049.51	33	870.57	22	969.96	103	7890.04	56
970	Wilkes County Schools	5342.90	77	610.55	60	1363.17	62	7316.62	84
980	Wilson County Schools	5135.16	96	643.32	52	1304.09	70	7082.57	99
990	Yadkin County Schools	5417.98	72	478.88	91	1127.94	88	7024.80	101
995	Yancey County Schools	6371.93	25	774.9	36	1080.69	93	8227.52	40
