LEA	LEA Name	State PPE	State Rank	Federal PPE	Federal Rank	Local PPE	Local Rank	Total PPE	Total Rank
10	Alamance-Burlington Schools	4364.77	111	460.61	87	1440.93	41	6266.31	100
20	Alexander County Schools	4540.93	102	382.5	102	970.78	100	5894.21	113
30	Alleghany County Schools	6806.86	6	619.73	55	1167.61	74	8594.20	14
40	Anson County Schools	5411.28	31	1076.19	16	964.64	101	7452.11	46
50	Ashe County Schools	5830.55	25	830.38	32	1185.41	73	7846.34	32
761	Asheboro City Schools	4877.54	68	623.45	54	1501.12	38	7002.11	66
111	Asheville City Schools	5026.80	52	813.51	33	3959.34	1	9799.65	4
60	Avery County Schools	6308.96	13	991.49	21	1696.24	29	8996.69	7
70	Beaufort County Schools	5116.95	44	858.1	30	1268.60	59	7243.65	56
80	Bertie County Schools	6040.38	19	1234.75	9	1107.63	84	8382.76	18
90	Bladen County Schools	5317.75	34	1367.05	6	1216.06	69	7900.86	30
100	Brunswick County Schools	4866.15	70	568.07	64	2116.04	15	7550.26	41
110	Buncombe County Schools	4623.99	92	462.75	86	1665.18	31	6751.92	75
120	Burke County Schools	4712.29	82	515.76	78	951.27	103	6179.32	105
130	Cabarrus County Schools	4370.45	110	335.88	110	1507.39	37	6213.72	103
140	Caldwell County Schools	4680.76	86	418.46	93	1133.05	78	6232.27	101
150	Camden County Schools	6401.54	11	317.06	113	642.96	114	7361.56	51
160	Carteret County Schools	4886.42	65	566.94	65	2276.41	8	7729.77	34
170	Caswell County Schools	6034.09	20	608.38	58	748.81	113	7391.28	47
180	Catawba County Schools	4527.09	103	363.19	109	1288.45	56	6178.73	106
681	Chapel-Hill/Carrboro City Schools	4618.66	94	367.05	107	3906.83	2	8892.54	10
600	Charlotte-Mecklenburg County Schools	4396.77	108	483.17	80	2235.94	10	7115.88	62
190	Chatham County Schools	4649.22	89	451.81	88	2269.31	9	7370.34	50
200	Cherokee County Schools	5620.84	28	802.88	35	1077.76	88	7501.48	44
220	Clay County Schools	6619.79	8	481.1	81	1160.92	75	8261.81	20
230	Cleveland County Schools	4889.47	64	516.11	77	1393.00	49	6798.58	72
821	Clinton City Schools	5177.76	39	633.53	52	1326.60	54	7137.89	60
240	Columbus County Schools	5269.70	37	916.24	27	950.09	104	7136.03	61
250	Craven County Schools	4739.66	78	872.4	29	1066.88	91	6678.94	82
260	Cumberland County Schools	4580.44	98	796.83	36	1244.92	64	6622.19	87
270	Currituck County Schools	5023.51	53	327.45	112	1928.16	18	7279.12	55
280	Dare County Schools	4798.04	72	367.49	106	3655.15	3	8820.68	12
290	Davidson County Schools	4339.08	113	302.38	114	1125.54	80	5767.00	115
300	Davie County Schools	4611.10	96	328.98	111	1243.91	65	6183.99	104
310	Duplin County Schools	4913.13	62	835.58	31	1029.14	95	6777.85	73
320	Durham County Schools	4795.77	73	566.2	66	2745.24	5	8107.21	23
210	Edenton-Chowan County Schools	6051.04	18	740.86	40	1604.71	32	8396.61	17
330	Edgecombe County Schools	5267.96	38	970.53	24	1109.04	83	7347.53	52
861	Elkin City Schools	5435.39	30	369.9	105	1737.88	27	7543.17	42
340	Forsyth County Schools	4620.53	93	400.16	99	2131.52	14	7152.21	58
350	Franklin County Schools	4707.90	84	675.3	46	1366.27	51	6749.47	77
360	Gaston County Schools	4361.44	112	473.87	83	1250.79	63	6086.10	112
370	Gates County Schools	6407.46	10	470.63	85	1356.62	52	8234.71	21
380	Graham County Schools	6853.01	5	1156.40	13	601.63	115	8611.04	13
390	Granville County Schools	4731.48	80	423.02	92	1271.73	57	6426.23	95
400	Greene County Schools	5895.08	23	1026.68	17	1147.27	77	8069.03	26
