	 		2012							2013							2014																																																																																																																																													
	School System & School		# Tested	% Tested	Math Score	CR Score1	Writing Score3	M+CR2	M+CR+W3	# Tested	% Tested	Math Score	CR Score1	Writing Score3	M+CR2	M+CR+W3	# Tested	% Tested	Math Score	CR Score1	Writing Score3	M+CR2	M+CR+W3																																																																																																																																							
310	338	 Duplin Early College High 	1	3.6	 * 	 * 	 * 	 * 	 * 	17	42.5	458	437	439	895	1334	13	23.2	509	494	495	1003	1498																																																																																																																																							
310	344	 East Duplin High 	83	43.7	480	451	437	931	1368	60	32.6	467	451	432	918	1350	53	28.5	464	448	434	912	1346																																																																																																																																							
310	352	 James Kenan High 	51	39.2	426	399	379	825	1204	66	60.0	438	392	390	830	1220	58	48.3	412	400	384	812	1196																																																																																																																																							
310	364	 North Duplin Jr Sr 	44	57.1	477	452	436	929	1365	34	65.4	487	464	449	951	1400	39	56.5	470	431	419	901	1320																																																																																																																																							
310	392	 Wallace-Rose Hill High 	62	53.4	461	439	429	900	1329	44	49.4	446	423	412	869	1281	59	62.8	429	401	392	830	1222																																																																																																																																							
320	 Durham Public Schools 		1531	72.5	477	474	448	951	1399	1274	64.5	484	481	461	965	1426	1263	61.8	476	476	454	952	1406																																																																																																																																							
320	309	 Josephine Dobbs Clement Early 	80	95.2	474	464	457	938	1395	75	97.4	456	454	436	910	1346	75	100	490	480	465	970	1435																																																																																																																																							
320	312	 C E Jordan High 	299	78.9	538	530	502	1068	1570	280	74.3	534	534	510	1068	1578	256	69.4	544	543	523	1087	1610																																																																																																																																							
320	317	 City Of Medicine Academy 	53	79.1	419	445	432	864	1296	47	78.3	471	474	466	945	1411	66	86.8	461	464	431	925	1356																																																																																																																																							
320	322	 Durham's Performance Learning 	13	39.4	415	419	389	834	1223	9	30.0	410	406	406	816	1222	11	35.5	349	362	324	711	1035																																																																																																																																							
320	323	 Durham School Of Arts 	147	87.0	535	539	514	1074	1588	127	70.9	549	544	516	1093	1609	132	71.4	526	546	515	1072	1587																																																																																																																																							
320	325	 Hillside High 	155	61.8	415	414	386	829	1215	119	54.1	430	421	403	851	1254	176	62.9	413	413	396	826	1222																																																																																																																																							
320	353	 Middle College High @dtcc 	38	70.4	535	555	515	1090	1605	42	71.2	524	532	516	1056	1572	30	44.1	525	562	520	1087	1607																																																																																																																																							
320	356	 Northern High 	235	75.3	456	455	423	911	1334	152	56.7	453	448	431	901	1332	138	50.7	443	447	421	890	1311																																																																																																																																							
320	365	 Riverside High 	272	69.6	495	491	466	986	1452	226	58.2	506	500	479	1006	1485	206	51.9	495	484	459	979	1438																																																																																																																																							
320	368	 Southern High 	142	58.2	396	395	371	791	1162	111	52.4	388	399	383	787	1170	97	52.4	392	395	381	787	1168																																																																																																																																							
320	700	 Souther School Of Engineering 	32	71.1	431	405	382	836	1218	32	82.1	441	418	405	859	1264	31	67.4	427	410	379	837	1216																																																																																																																																							
320	701	 Hillside New Tech High 	65	84.4	438	426	394	864	1258	54	93.1	430	432	400	862	1262	45	77.6	406	398	392	804	1196																																																																																																																																							
32D 	 Kestrel Heights School 		28	59.6	482	482	469	964	1433	30	44.8	448	450	438	898	1336	16	26.7	448	464	439	912	1351																																																																																																																																							
32L 	 Voyager Academy 			   	   	   	   	   	   	2	 NA 	 * 	 * 	 * 	 * 	 * 	63	64.9	509	489	469	998	1467																																																																																																																																							
330	 Edgecombe County Public Schools 		198	44.9	442	434	423	876	1299	168	38.8	432	419	405	851	1256	225	46.4	422	423	407	845	1252																																																																																																																																							
330	326	 Edgecombe Early College High 	32	76.2	480	486	462	966	1428	16	42.1	504	471	446	975	1421	24	47.1	495	508	498	1003	1501																																																																																																																																							
330	328	 North Edgecombe High 	29	34.5	419	376	365	795	1160	33	47.8	417	385	367	802	1169	31	56.4	396	405	390	801	1191																																																																																																																																							
330	350	 Southwest Edgecombe 	66	41.5	453	434	423	887	1310	65	33.5	433	419	401	852	1253	74	36.5	425	408	397	833	1230																																																																																																																																							
330	358	 Tarboro High 	71	45.8	425	433	428	858	1286	54	40.9	420	425	421	845	1266	96	54.5	411	419	397	830	1227																																																																																																																																							
340	 Forsyth County Schools4 		2158	63.8	511	495	473	1006	1479	1930	56.7	505	495	478	1000	1478	2064	58.5	503	493	471	996	1467																																																																																																																																							
340	311	 Atkins Academics & Technology 	1	1.3	 * 	 * 	 * 	 * 	 * 	42	53.2	441	449	434	890	1324	48	70.6	446	444	425	890	1315																																																																																																																																							
340	330	 Carver High 	60	39.5	407	393	374	800	1174	54	40.3	426	409	403	835	1238	50	43.1	407	393	364	800	1164																																																																																																																																							
340	332	 Career Center 	5	NA	576	590	598	1166	1764	2	NA	*	*	*	*	*	3	NA	563	567	533	1130	1663																																																																																																																																							
340	362	 Earlycollege At Forsyth 	42	84.0	529	544	518	1073	1591	31	59.6	510	519	500	1029	1529	41	65.1	533	550	509	1083	1592																																																																																																																																							
340	364	 East Forsyth High 	297	67.0	517	501	469	1018	1487	259	58.5	497	482	458	979	1437	285	67.2	494	484	456	978	1434																																																																																																																																							
340	382	 R B Glenn High 	171	51.8	494	455	436	949	1385	147	45.4	474	472	447	946	1393	162	50	474	468	447	942	1389																																																																																																																																							
340	446	 Middle College Forsyth 	6	15.0	505	443	465	948	1413	13	28.3	449	421	452	870	1322	13	25	465	513	441	978	1419																																																																																																																																							
340	454	 Mount Tabor High 	322	80.3	541	518	494	1059	1553	280	74.5	534	516	503	1050	1553	284	71.4	530	511	489	1041	1530																																																																																																																																							
340	460	 North Forsyth High 	145	58.7	446	461	434	907	1341	115	43.7	433	435	412	868	1280	128	48.9	440	438	419	878	1297																																																																																																																																							
340	486	 Parkland High 	143	47.0	464	457	435	921	1356	145	48.5	477	470	443	947	1390	154	48.3	457	453	433	910	1343																																																																																																																																							
340	488	 Jf Kennedy High 		   	   	   	   	   	   		   	   	   	   	   	   	3	13.6	 * 	 * 	 * 	 * 	 * 																																																																																																																																							
340	495	 Reagan High 	266	76.2	548	528	511	1076	1587	307	74.9	540	531	511	1071	1582	289	69.3	550	528	507	1078	1585																																																																																																																																							
340	496	 Reynolds High 	244	66.5	504	503	484	1007	1491	198	53.2	520	514	503	1034	1537	233	59.3	523	516	504	1039	1543																																																																																																																																							
340	542	 Walkertown High 		   	   	   	   	   	   		   	   	   	   	   	   	29	29.6	456	452	420	908	1328																																																																																																																																							
340	556	 West Forsyth High 	350	76.6	550	526	504	1076	1580	299	66.0	534	520	505	1054	1559	310	70.9	528	523	495	1051	1546																																																																																																																																							
340	568	 Winston-Salem Prep Academy 	42	89.4	427	386	391	813	1204	23	74.2	402	388	386	790	1176	30	85.7	388	398	402	786	1188																																																																																																																																							
340	703	 Jacket Academy At Carver 	24	75.0	399	378	367	777	1144	15	46.9	443	423	418	866	1284	2	12.5	 * 	 * 	 * 	 * 	 * 																																																																																																																																							
34B 	 Quality Education Academy 		23	100.0	447	410	390	857	1247	17	100.0	365	386	371	751	1122	18	100	387	391	387	778	1165																																																																																																																																							
34D 	 Carter G Woodson School 		3	75.0	 * 	 * 	 * 	 * 	 * 	21	100.0	418	374	354	792	1146	22	100	403	353	370	756	1126																																																																																																																																							
350	 Franklin County Schools 		251	48.1	490	469	447	959	1406	244	42.4	496	485	473	981	1454	182	33.5	468	464	445	932	1377																																																																																																																																							
350	308	 Bunn High 	78	46.4	516	491	469	1007	1476	91	48.1	510	487	483	997	1480	63	34.8	476	468	438	944	1382																																																																																																																																							
350	317	 Franklin County Early College 		   	   	   	   	   	   	4	33.3	 * 	 * 	 * 	 * 	 * 	4	13.3	 * 	 * 	 * 	 * 	 * 																																																																																																																																							
350	321	 Franklinton High 	125	61.3	472	460	437	932	1369	101	48.8	478	480	467	958	1425	94	46.3	453	454	446	907	1353																																																																																																																																							
350	336	 Louisburg High 	48	32.0	494	455	438	949	1387	48	28.7	506	497	467	1003	1470	21	16.2	508	491	467	999	1466																																																																																																																																							
360	 Gaston County Schools 		1166	60.6	494	483	452	977	1429	1054	52.1	492	477	455	969	1424	1047	49.2	491	479	452	970	1422																																																																																																																																							
360	310	 Ashbrook High 	193	64.3	485	475	450	960	1410	156	51.7	473	457	438	930	1368	152	45.2	476	461	441	937	1378																																																																																																																																							
360	336	 Bessemer City High 	51	64.6	466	463	438	929	1367	35	36.5	468	432	413	900	1313	36	30.3	469	444	408	913	1321																																																																																																																																							
360	337	 Gaston Early College High 		   	   	   	   	   	   	4	16.0	 * 	 * 	 * 	 * 	 * 	5	15.6	408	468	408	876	1284																																																																																																																																							
360	360	 Cherryville Sr High 	56	48.3	473	461	422	934	1356	54	41.2	469	457	420	926	1346	55	34.6	496	473	443	969	1412																																																																																																																																							
360	390	 East Gaston High 	154	55.6	493	465	438	958	1396	123	39.3	502	483	478	985	1463	145	47.4	501	493	468	994	1462																																																																																																																																							
360	396	 Forestview High 	209	77.1	501	497	462	998	1460	214	70.9	501	481	455	982	1437	155	63	501	485	457	986	1443																																																																																																																																							
360	418	 Highland School Of Technology 	126	94.7	537	514	474	1051	1525	119	88.1	549	551	509	1100	1609	113	86.3	520	511	483	1031	1514																																																																																																																																							
360	428	 Hunter Huss High 	80	43.0	453	447	417	900	1317	66	39.3	446	421	401	867	1268	71	36.4	445	435	412	880	1292																																																																																																																																							
360	470	 North Gaston High 	83	41.7	481	473	439	954	1393	84	40.0	465	443	429	908	1337	105	42.5	481	461	434	942	1376																																																																																																																																							
360	494	 South Point High 	214	75.1	503	498	469	1001	1470	199	71.1	496	485	469	981	1450	210	70.2	498	494	464	992	1456																																																																																																																																							
36B 	 Piedmont Community Charter 		28	77.8	485	499	455	984	1439	8	21.6	445	465	443	910	1353	12	22.2	458	516	447	974	1421																																																																																																																																							
370	 Gates County Schools 		51	39.2	478	447	424	925	1349	25	21.4	478	472	444	950	1394	37	29.6	476	466	437	942	1379																																																																																																																																							
370	312	 Gates County Sr High 	51	39.2	478	447	424	925	1349	25	21.4	478	472	444	950	1394	37	29.6	476	466	437	942	1379																																																																																																																																							
380	 Graham County Schools 		46	73.0	480	469	468	949	1417	33	45.8	472	471	446	943	1389	34	45.9	486	474	463	960	1423																																																																																																																																							
380	308	 Robbinsville High 	46	73.0	480	469	468	949	1417	33	45.8	472	471	446	943	1389	34	45.9	486	474	463	960	1423																																																																																																																																							
390	 Granville County Schools		275	51.3	492	479	455	971	1426	243	46.9	481	461	446	942	1388	249	45.8	489	471	449	960	1409																																																																																																																																							
390	322	 Granville Central High 	60	42.0	483	483	445	966	1411	37	35.2	491	476	465	967	1432	45	35.2	479	466	439	945	1384																																																																																																																																							
390	323	 Granville Early College High 	1	 NA 	 * 	 * 	 * 	 * 	 * 	18	90.0	513	482	459	995	1454	29	52.7	529	498	472	1027	1499																																																																																																																																							
390	324	 J F Webb High 	75	49.3	497	484	463	981	1444	47	30.9	455	430	415	885	1300	31	27.2	460	435	408	895	1303																																																																																																																																							
390	700	 J F Webb High Of Health Sci 	31	56.4	500	472	473	972	1445	36	55.4	480	464	455	944	1399	37	54.4	536	519	495	1055	1550																																																																																																																																							
390	704	 South Granville Hi Of Heal Sci 	46	62.2	490	463	445	953	1398	45	52.9	498	469	455	967	1422	56	59.6	472	469	456	941	1397																																																																																																																																							
390	705	 South Granville High Of Busine 	62	55.9	494	485	453	979	1432	60	65.9	475	462	442	937	1379	51	60	475	451	429	926	1355																																																																																																																																							
400	 Greene County Schools 		79	36.7	443	438	413	881	1294	71	33.8	431	439	429	870	1299	113	53.8	417	413	388	830	1218																																																																																																																																							
400	308	 Greene Central High 	62	37.6	447	440	411	887	1298	57	33.7	436	442	429	878	1307	104	60.5	415	411	385	826	1211																																																																																																																																							
400	315	 Greene Early College High 	17	34.0	428	430	422	858	1280	14	34.1	409	426	427	835	1262	9	23.7	438	431	422	869	1291																																																																																																																																							
410	 Guilford County Schools 		3404	73.2	488	476	460	964	1424	3260	67.6	488	481	464	969	1433	3390	66.7	491	482	462	973	1435																																																																																																																																							
410	319	 T Wingate Andrews High 	123	76.9	393	372	359	765	1124	88	60.3	422	415	387	837	1224	101	55.5	415	407	386	822	1208																																																																																																																																							
410	326	 Middle College High At Bennet 	31	96.9	385	391	382	776	1158	14	77.8	430	453	434	883	1317	19	76	393	413	405	806	1211																																																																																																																																							
410	355	 Dudley High 	194	60.8	409	401	385	810	1195	187	56.3	408	409	390	817	1207	178	62.5	414	407	395	821	1216																																																																																																																																							
410	358	 Eastern Guilford High 	142	60.9	440	428	414	868	1282	152	59.4	429	433	414	862	1276	162	67.5	413	409	389	822	1211																																																																																																																																							
410	390	 Gc Middle College High 	54	98.2	479	476	464	955	1419	47	92.2	449	474	448	923	1371	46	74.2	452	460	438	912	1350																																																																																																																																							
410	391	 Penn-Griffin School For The Ar 	26	100.0	538	534	516	1072	1588	30	100.0	503	518	508	1021	1529	55	94.8	512	532	515	1044	1559																																																																																																																																							
410	394	 Grimsley High 	303	82.6	545	532	511	1077	1588	266	73.7	551	541	521	1092	1613	304	74	555	544	518	1099	1617																																																																																																																																							
410	395	 Early College At Guilford 	56	100.0	706	671	674	1377	2051	47	97.9	682	662	661	1344	2005	50	100	702	684	672	1386	2058																																																																																																																																							
410	399	 Gtcc East Middle College High 	31	83.8	491	491	461	982	1443	24	44.4	489	478	459	967	1426	21	43.8	487	460	444	947	1391																																																																																																																																							
410	401	 Gtcc Middle College High 	21	51.2	474	478	456	952	1408	14	30.4	491	519	481	1010	1491	15	28.3	496	493	468	989	1457																																																																																																																																							
410	406	 High Point Central High 	163	61.5	463	446	440	909	1349	182	63.2	475	470	443	945	1388	160	57.6	467	451	439	918	1357																																																																																																																																							
410	407	 The Academy At High Point Cent 	34	100.0	420	380	362	800	1162	26	86.7	416	400	392	816	1208	29	90.6	417	389	374	806	1180																																																																																																																																							
410	408	 High Point Gtcc Mid Coll High 	27	71.1	439	472	444	911	1355	17	42.5	439	465	441	904	1345	18	42.9	413	441	440	854	1294																																																																																																																																							
410	483	 Middle College High At Nc A&t 	23	100.0	410	373	356	783	1139	30	100.0	407	414	385	821	1206	22	88	418	426	413	844	1257																																																																																																																																							
410	484	 Northeast High 	132	63.5	441	440	421	881	1302	136	74.7	451	441	427	892	1319	114	54.5	438	409	389	847	1236																																																																																																																																							
410	489	 Northern Guilford High 	222	85.4	535	526	507	1061	1568	238	78.5	523	510	498	1033	1531	248	78	546	531	510	1077	1587																																																																																																																																							
410	490	 Northwest High 	356	80.5	547	536	522	1083	1605	316	76.1	551	539	527	1090	1617	350	78.3	556	535	513	1091	1604																																																																																																																																							
410	508	 Walter Hines Page High 	272	72.7	503	490	476	993	1469	252	63.8	507	492	479	999	1478	282	67.6	536	523	499	1059	1558																																																																																																																																							
410	529	 Lucy Ragsdale High 	208	80.9	489	469	457	958	1415	226	70.4	486	476	454	962	1416	181	66.5	489	490	470	979	1449																																																																																																																																							
410	544	 Ben L Smith High 	122	51.5	412	390	369	802	1171	121	48.0	411	411	398	822	1220	170	66.7	390	389	369	779	1148																																																																																																																																							
410	545	 Smith Academy 	65	100.0	430	413	395	843	1238	49	100.0	454	448	424	902	1326	47	88.7	469	433	421	902	1323																																																																																																																																							
410	547	 Southeast High 	184	70.5	483	481	453	964	1417	193	67.0	472	473	447	945	1392	194	56.6	479	474	443	953	1396																																																																																																																																							
410	556	 Southern High 	127	66.1	458	449	431	907	1338	139	66.5	466	459	438	925	1363	179	68.6	446	439	415	885	1300																																																																																																																																							
410	562	 Southwest High 	232	76.8	494	473	462	967	1429	209	74.1	491	480	467	971	1438	229	72	496	490	467	986	1453																																																																																																																																							
410	589	 P J Weaver Ed Center 	66	98.5	531	549	521	1080	1601	60	85.7	516	539	523	1055	1578	63	90	548	563	540	1111	1651																																																																																																																																							
410	595	 Western High 	190	71.4	498	475	466	973	1439	197	73.5	495	471	459	966	1425	153	59.3	480	479	467	959	1426																																																																																																																																							
41F 	 Triad Math and Science Academy 			   	   	   	   	   	   	1	 NA 	 * 	 * 	 * 	 * 	 * 	12	100	481	469	443	950	1393																																																																																																																																							
420	 Halifax County Schools 		138	49.8	410	384	376	794	1170	87	38.2	391	377	379	768	1147	95	50.3	381	383	371	764	1135																																																																																																																																							
420	346	 Northwest High 	89	58.2	420	387	383	807	1190	50	41.0	417	381	391	798	1189	48	49	400	390	386	790	1176																																																																																																																																							
420	358	 Southeast Halifax High 	49	39.5	392	379	362	771	1133	37	34.9	356	371	362	727	1089	47	51.6	362	375	355	737	1092																																																																																																																																							
421	 Roanoke Rapids City 		120	68.2	457	465	451	922	1373	90	41.9	479	477	458	956	1414	68	35.8	479	494	462	973	1435																																																																																																																																							
421	316	 Roanoke Rapids High 	120	68.2	457	465	451	922	1373	90	41.9	479	477	458	956	1414	68	35.8	479	494	462	973	1435																																																																																																																																							
422	 Weldon City Schools 		46	63.9	385	373	352	758	1110	27	56.3	398	370	345	768	1113	78	80.4	410	398	385	808	1193																																																																																																																																							
422	310	 Roanoke Valley Early College 		   	   	   	   	   	   		   	   	   	   	   	   	40	80	436	433	423	869	1292																																																																																																																																							
422	700	Weldon Stem	46	63.9	385	373	352	758	1110	27	NA	398	370	345	768	1113	38	NA	382	362	344	744	1088																																																																																																																																							
430	 Harnett County Schools 		530	50.8	476	474	447	950	1397	498	47.1	466	467	446	933	1379	477	36.3	473	469	447	942	1389																																																																																																																																							
430	346	 Harnett Central High 	158	55.2	482	482	452	964	1416	108	45.4	476	474	455	950	1405	79	24.1	483	492	459	975	1434																																																																																																																																							
430	371	 Overhills High 	144	49.7	462	480	453	942	1395	164	48.5	459	477	450	936	1386	167	47	463	469	452	932	1384																																																																																																																																							
430	378	 Triton High 	117	49.4	476	463	434	939	1373	146	56.4	465	453	433	918	1351	142	43.8	485	467	436	952	1388																																																																																																																																							
430	384	 Western Harnett High 	111	50.5	484	466	446	950	1396	80	38.3	470	463	447	933	1380	89	30.2	464	454	447	918	1365																																																																																																																																							
440	 Haywood County Schools 		235	47.6	505	480	461	985	1446	230	45.6	510	493	469	1003	1472	203	69.8	511	499	477	1010	1487																																																																																																																																							
440	346	 Haywood Early College 	10	29.4	533	509	484	1042	1526	7	15.9	540	554	504	1094	1598	8	18.6	511	504	521	1015	1536																																																																																																																																							
440	378	 Pisgah High 	113	50.0	486	472	452	958	1410	81	37.5	495	481	456	976	1432	86	NA	502	498	477	1000	1477																																																																																																																																							
440	390	 Tuscola High 	111	54.7	521	485	468	1006	1474	141	62.1	518	497	476	1015	1491	109	48.4	518	499	474	1017	1491																																																																																																																																							
450	 Henderson County Schools 		460	55.6	529	513	488	1042	1530	423	49.5	513	510	491	1023	1514	412	44.7	514	508	485	1022	1507																																																																																																																																							
450	316	 East Henderson High 	99	50.0	529	496	478	1025	1503	83	40.9	529	528	499	1057	1556	75	37.7	499	484	457	983	1440																																																																																																																																							
450	334	 Hendersonville High 	110	70.5	534	530	503	1064	1567	105	64.8	508	512	492	1020	1512	107	62.9	506	505	486	1011	1497																																																																																																																																							
450	341	 North Henderson High 	114	51.4	518	496	470	1014	1484	89	53.9	489	490	469	979	1448	86	37.7	505	505	474	1010	1484																																																																																																																																							
450	352	 West Henderson High 	131	61.8	536	527	499	1063	1562	136	54.8	521	507	498	1028	1526	123	51	536	524	506	1060	1566																																																																																																																																							
450	354	 Henderson Co Early College Hig 	6	24.0	527	508	480	1035	1515	10	20.4	528	540	501	1068	1569	21	31.8	517	520	501	1037	1538																																																																																																																																							
460	 Hertford County Schools 		130	61.6	391	387	380	778	1158	113	51.1	409	411	402	820	1222	132	51.8	404	392	377	796	1173																																																																																																																																							
460	320	 Hertford County High 	95	60.5	395	386	374	781	1155	83	50.3	419	421	410	840	1250	96	52.2	403	390	369	793	1162																																																																																																																																							
460	322	 Hertford County Early College 	35	85.4	381	390	396	771	1167	30	62.5	380	384	380	764	1144	34	54.8	413	404	408	817	1225																																																																																																																																							
460	340	 Cs Brown Student Development C 		   	   	   	   	   	   		   	   	   	   	   	   	2	22.2	 * 	 * 	 * 	 * 	 * 																																																																																																																																							
470	 Hoke County Schools 		207	50.7	444	442	420	886	1306	180	42.3	448	435	421	883	1304	182	42.6	448	452	422	900	1322																																																																																																																																							
470	312	 Hoke County High 	176	53.8	436	433	411	869	1280	144	42.9	438	425	411	863	1274	151	43.6	434	436	409	870	1279																																																																																																																																							
470	443	 Sandhoke Early College High 	31	44.3	489	494	468	983	1451	36	42.9	489	477	463	966	1429	31	44.3	517	528	487	1045	1532																																																																																																																																							
480	 Hyde County Schools 		25	52.1	493	460	439	953	1392	21	61.8	471	432	415	903	1318	22	40.7	485	459	427	944	1371																																																																																																																																							
480	316	 Ocracoke 	7	100.0	537	531	500	1068	1568	3	75.0	 * 	 * 	 * 	 * 	 * 	8	88.9	573	516	485	1089	1574																																																																																																																																							
480	318	 Hyde County Early College High 	17	41.5	474	430	412	904	1316	18	60.0	460	431	411	891	1302	14	31.1	434	426	394	860	1254																																																																																																																																							
490	 Iredell-Statesville 		839	58.0	528	507	484	1035	1519	760	50.6	531	510	487	1041	1528	781	48.7	529	511	487	1040	1527																																																																																																																																							
490	320	 Collab Col Of Tech & Leadershi 	34	45.9	544	571	538	1115	1653	36	41.4	557	558	540	1115	1655	18	23.1	499	514	479	1013	1492																																																																																																																																							
490	335	 Lake Norman High 	398	86.0	556	527	504	1083	1587	357	81.9	550	526	503	1076	1579	349	76	551	527	506	1078	1584																																																																																																																																							
490	346	 North Iredell High 	90	40.9	521	493	464	1014	1478	81	34.6	518	487	461	1005	1466	88	34.2	501	501	457	1002	1459																																																																																																																																							
490	354	 Statesville High 	127	49.4	493	476	462	969	1431	94	38.2	480	467	453	947	1400	100	42.2	489	472	455	961	1416																																																																																																																																							
490	355	 Iredell-Statesville Visual & P 	11	39.3	466	487	457	953	1410	11	15.3	496	507	474	1003	1477	16	17.6	529	533	491	1062	1553																																																																																																																																							
490	362	 South Iredell High 	99	52.7	492	474	450	966	1416	119	51.5	527	506	478	1033	1511	161	59	535	518	494	1053	1547																																																																																																																																							
490	380	 West Iredell High 	80	42.8	502	484	463	986	1449	59	33.0	505	496	464	1001	1465	49	26.1	497	465	453	962	1415																																																																																																																																							
491	 Mooresville Graded School 		245	68.1	501	476	455	977	1432	201	56.8	499	490	470	989	1459	209	59	520	500	484	1020	1504																																																																																																																																							
491	312	 Mooresville Sr High 	245	68.1	501	476	455	977	1432	201	56.8	499	490	470	989	1459	209	59	520	500	484	1020	1504																																																																																																																																							
49E 	 Pine Lake Preparatory		64	100.0	550	541	521	1091	1612	72	81.8	557	548	515	1105	1620	78	82.1	547	540	511	1087	1598																																																																																																																																							
500	 Jackson County Schools		110	46.4	509	502	483	1011	1494	91	40.4	503	494	468	997	1465	87	31.5	512	500	477	1012	1489																																																																																																																																							
500	302	 Blue Ridge Virtual Early Colle 	6	26.1	450	442	413	892	1305	13	48.1	462	465	442	927	1369	11	32.4	448	445	429	893	1322																																																																																																																																							
500	323	 Jackson County Early College 	7	17.5	581	560	549	1141	1690	9	23.1	571	602	551	1173	1724	5	13.9	578	588	578	1166	1744																																																																																																																																							
500	324	 Jackson Co Sch Of Alt 		   	   	   	   	   	   	2	6.7	 * 	 * 	 * 	 * 	 * 	1	3.4	 * 	 * 	 * 	 * 	 * 																																																																																																																																							
500	340	 Smoky Mountain High 	97	62.2	507	501	482	1008	1490	67	51.9	503	483	461	986	1447	70	39.5	517	501	476	1018	1494																																																																																																																																							
510	 Johnston County Schools 		939	50.2	512	487	460	999	1459	929	45.6	507	494	470	1001	1471	922	48.2	502	496	469	998	1467																																																																																																																																							
510	324	 Clayton High 	267	58.9	522.0	496.0	474.0	1018.0	1492	178	60.8	508.0	502.0	479.0	1010.0	1489.0	171	53.3	501	496	464	997	1461																																																																																																																																							
510	327	 Cleveland High 		   	   	   	   	   	   	125	47.5	501	483	454	984	1438	152	52.6	499	489	464	988	1452																																																																																																																																							
510	333	 Corinth Holders High 		   	   	   	   	   	   	133	53.4	500	507	485	1007	1492	156	52.7	508	514	496	1022	1518																																																																																																																																							
510	357	 Johnston Middle College 	32	42.1	536	520	492	1056	1548	24	39.3	497	520	502	1017	1519	31	48.4	508	528	486	1036	1522																																																																																																																																							
510	367	 Johnston County Early College 	18	43.9	551	555	507	1106	1613	43	60.6	541	550	505	1091	1596	62	74.7	528	549	516	1077	1593																																																																																																																																							
510	368	 North Johnston High 	75	48.1	497	453	435	950	1385	64	48.5	528	492	466	1020	1486	49	32.7	485	449	430	934	1364																																																																																																																																							
510	376	 Princeton High 	43	43.4	495	496	458	991	1449	36	40.4	507	492	468	999	1467	36	30.3	512	505	490	1017	1507																																																																																																																																							
510	399	 Smithfield-Selma High 	118	42.4	471	463	433	934	1367	97	33.4	467	448	441	915	1356	97	33.3	481	466	446	947	1393																																																																																																																																							
510	402	 South Johnston High 	96	37.2	520	487	466	1007	1473	74	27.1	506	499	461	1005	1466	53	NA	494	468	440	962	1402																																																																																																																																							
510	406	 West Johnston High 	290	57.9	518	488	458	1006	1464	155	48.9	525	490	467	1015	1482	115	38.6	511	497	463	1008	1471																																																																																																																																							
51A 	 Neuse Charter School 			   	   	   	   	   	   		   	   	   	   	   	   	15	55.6	487	489	467	976	1443																																																																																																																																							
520	 Jones County Schools 		34	45.3	477	421	406	898	1304	29	46.0	452	450	417	902	1319	15	31.3	455	437	406	892	1298																																																																																																																																							
520	320	 Jones Senior High 	34	45.3	477	421	406	898	1304	29	46.0	452	450	417	902	1319	15	31.3	455	437	406	892	1298																																																																																																																																							
530	 Lee County Schools 		313	56.2	493	470	445	963	1408	280	49.0	490	479	459	969	1428	224	37.6	497	488	464	985	1449																																																																																																																																							
530	335	 Lee Early College 	39	48.1	526	527	487	1053	1540	18	24.0	507	501	469	1008	1477	5	6.3	592	562	564	1154	1718																																																																																																																																							
530	336	 Lee County Sr High 	144	54.5	503	483	457	986	1443	157	56.5	505	488	469	993	1462	120	45.3	494	484	457	978	1435																																																																																																																																							
530	343	 Southern Lee Hgih 	130	65.3	471	438	418	909	1327	105	50.5	465	461	441	926	1367	99	41.9	496	490	468	986	1454																																																																																																																																							
540	 Lenoir County Public Schools		244	40.9	476	464	438	940	1378	208	32.4	460	447	428	907	1335	191	29.9	454	449	428	903	1331																																																																																																																																							
540	315	 Kinston High 	92	49.5	434	420	409	854	1263	84	42.4	422	409	387	831	1218	82	38.7	446	434	417	880	1297																																																																																																																																							
540	317	 Lenoir County Early College Hi 	27	44.3	474	462	416	936	1352	26	45.6	477	486	441	963	1404	9	18.4	446	447	432	893	1325																																																																																																																																							
540	324	 North Lenoir High 	77	40.5	509	498	463	1007	1470	69	33.2	476	463	452	939	1391	60	31.4	457	461	434	918	1352																																																																																																																																							
540	336	 South Lenoir High 	48	34.0	504	496	465	1000	1465	29	17.9	519	487	478	1006	1484	40	23.8	467	463	442	930	1372																																																																																																																																							
550	 Lincoln County Schools 		515	60.7	508	480	456	988	1444	426	53.7	497	476	456	973	1429	381	44.4	515	499	468	1014	1482																																																																																																																																							
550	320	 East Lincoln High 	135	69.2	511	502	464	1013	1477	111	65.7	506	486	462	992	1454	96	50.5	503	505	462	1008	1470																																																																																																																																							
550	332	 Lincolnton High 	110	52.4	482	444	428	926	1354	71	36.4	475	458	429	933	1362	55	27.6	485	462	446	947	1393																																																																																																																																							
550	344	 North Lincoln High 	174	75.7	526	494	476	1020	1496	145	65.9	510	485	477	995	1472	138	56.1	531	509	494	1040	1534																																																																																																																																							
550	368	 West Lincoln High 	96	46.4	502	466	438	968	1406	99	47.6	485	465	436	950	1386	92	41.6	520	499	448	1019	1467																																																																																																																																							
55A 	 Lincoln Charter Schools 		62	100.0	531	515	500	1046	1546	64	84.2	537	519	510	1056	1566	78	85.7	520	530	487	1050	1537																																																																																																																																							
