 																																																																																																																																																																																																								
			2008							2009							2010																																																																																																																																																																																							
	School System & School		# Tested	% Tested	Math Score	CR Score1	Writing Score	M+CR2	M+CR+W3	# Tested	% Tested	Math Score	CR Score1	Writing Score3	M+CR2	M+CR+W3	# Tested	% Tested	Math Score	CR Score1	Writing Score3	M+CR2	M+CR+W3																																																																																																																																																																																	
  		 United States (All Students) 	1518859	45.0	515	502	494	1017	1511	1530128	46.0	515	501	493	1016	1509	1547990	47.0	516	501	492	1017	1509																																																																																																																																																																																	
  		 North Carolina (All Students) 	55442	63.0	511	496	482	1007	1489	57147	63.0	511	495	480	1006	1486	57841	63.0	511	497	477	1008	1485																																																																																																																																																																																	
		 NC School Of Science & Math 	296	 NA 	690	646	639	1336	1975	339	 NA 	700	654	644	1354	1998	314	 NA 	693	663	645	1356	2001																																																																																																																																																																																	
		 NC School Of The Arts 	106	 NA 	555	581	563	1136	1699	94	 NA 	556	573	571	1129	1700	108	 NA 	569	594	568	1163	1731																																																																																																																																																																																	
010	 Alamance-Burlington Schools		821	62.1	508	481	467	989	1456	770	59.0	506	479	462	985	1447	716	57.3	508	477	460	985	1445																																																																																																																																																																																	
 010	303	 Alamance-Burlington Mid Colleg 	5	16.7	516	486	474	1002	1476	5	23.8	534	522	492	1056	1548	1	6.7	*	*	*	*	*																																																																																																																																																																																	
010	324	 Eastern Alamance High 	115	65.7	529	489	467	1018	1485	108	63.2	544	497	475	1041	1516	122	65.2	520	476	455	996	1451																																																																																																																																																																																	
010	348	 Graham High 	89	54.6	468	452	439	920	1359	92	56.8	449	431	414	880	1294	65	45.8	440	422	407	862	1269																																																																																																																																																																																	
010	360	 Hugh M Cummings High 	87	58.0	434	407	403	841	1244	69	49.6	446	424	416	870	1286	59	38.6	459	404	403	863	1266																																																																																																																																																																																	
010	388	 Southern High 	143	51.4	507	485	480	992	1472	147	51.0	503	472	454	975	1429	128	50.4	505	489	462	994	1456																																																																																																																																																																																	
010	396	 Walter M Williams High 	204	76.4	527	495	487	1022	1509	188	69.9	533	513	493	1046	1539	194	72.1	527	497	482	1024	1506																																																																																																																																																																																	
